TimeStamp (ms); Total Power (W); CPU (W); Monitor (W); Disk (W); Base (W); Application (W)
63476248908559;32,8;1,2;--;0,0;31,6;--
63476248909573;31,6;0,0;--;0,0;31,6;--
63476248910587;31,7;0,1;--;0,0;31,6;--
63476248911601;31,8;0,3;--;0,0;31,6;--
63476248912615;31,7;0,1;--;0,0;31,6;--
63476248913629;32,4;0,8;--;0,0;31,6;--
63476248914643;32,2;0,7;--;0,0;31,6;--
63476248915657;31,9;0,3;--;0,0;31,6;--
63476248916671;32,3;0,8;--;0,0;31,6;--
63476248917685;31,8;0,3;--;0,0;31,6;--
63476248918699;32,2;0,7;--;0,0;31,6;--
63476248919713;31,8;0,3;--;0,0;31,6;--
63476248920727;32,1;0,5;--;0,0;31,6;--
63476248921741;32,2;0,7;--;0,0;31,6;--
63476248922755;32,9;1,4;--;0,0;31,6;--
63476248923769;37,3;5,7;--;0,0;31,6;--
63476248924783;34,3;2,7;--;0,0;31,6;--
63476248925797;33,5;2,0;--;0,0;31,6;--
63476248926811;31,6;0,0;--;0,0;31,6;--
63476248927854;31,6;0,0;--;0,1;31,6;--
63476248928862;32,4;0,8;--;0,0;31,6;--
63476248929876;32,3;0,7;--;0,0;31,6;--
63476248930896;31,9;0,4;--;0,0;31,6;--
63476248931910;32,4;0,8;--;0,0;31,6;--
63476248932924;32,9;1,3;--;0,0;31,6;--
63476248933938;31,6;0,1;--;0,0;31,6;--
63476248934952;32,0;0,5;--;0,0;31,6;--
63476248935966;32,8;1,2;--;0,0;31,6;--
63476248936980;31,8;0,2;--;0,0;31,6;--
63476248937994;31,7;0,1;--;0,0;31,6;--
63476248939008;32,3;0,8;--;0,0;31,6;--
63476248940022;32,7;1,2;--;0,0;31,6;--
63476248941036;32,1;0,5;--;0,0;31,6;--
63476248942050;32,3;0,7;--;0,0;31,6;--
63476248943064;32,5;0,9;--;0,0;31,6;--
63476248944078;32,0;0,4;--;0,0;31,6;--
63476248945181;33,1;1,6;--;0,0;31,6;--
63476248946194;31,6;0,0;--;0,0;31,6;--
63476248947327;34,0;2,4;--;0,0;31,6;--
63476248948350;31,6;0,0;--;0,0;31,6;--
63476248949470;34,5;2,9;--;0,0;31,6;--
63476248950538;31,6;0,0;--;0,0;31,6;--
63476248951598;31,7;0,1;--;0,0;31,6;--
63476248952604;31,6;0,1;--;0,0;31,6;--
63476248953618;32,5;1,0;--;0,0;31,6;--
63476248954764;32,8;1,2;--;0,0;31,6;--
63476248955786;31,6;0,0;--;0,0;31,6;--
63476248956895;32,0;0,5;--;0,0;31,6;--
63476248957924;33,7;2,2;--;0,0;31,6;--
63476248958939;32,4;0,8;--;0,0;31,6;--
63476248960067;31,6;0,0;--;0,0;31,6;--
63476248961078;31,9;0,3;--;0,0;31,6;--
63476248962091;32,3;0,7;--;0,0;31,6;--
63476248963119;32,3;0,8;--;0,0;31,6;--
63476248964195;31,6;0,0;--;0,0;31,6;--
63476248965209;33,8;2,2;--;0,0;31,6;--
63476248966365;31,6;0,0;--;0,0;31,6;--
63476248967395;33,8;2,3;--;0,0;31,6;--
63476248968408;31,6;0,0;--;0,0;31,6;--
63476248969517;32,6;1,0;--;0,0;31,6;--
63476248970530;31,7;0,1;--;0,0;31,6;--
63476248971545;31,6;0,0;--;0,0;31,6;--
63476248972652;31,6;0,0;--;0,0;31,6;--
63476248973664;31,7;0,1;--;0,0;31,6;--
63476248974823;33,7;2,1;--;0,0;31,6;--
63476248975833;31,9;0,3;--;0,0;31,6;--
63476248976972;34,2;2,6;--;0,0;31,6;--
63476248977986;31,6;0,0;--;0,0;31,6;--
63476248979112;31,6;0,0;--;0,0;31,6;--
63476248980123;31,8;0,2;--;0,0;31,6;--
63476248981153;32,6;1,0;--;0,0;31,6;--
63476248982260;31,8;0,3;--;0,0;31,6;--
63476248983324;34,0;2,4;--;0,0;31,6;--
63476248984430;31,6;0,0;--;0,0;31,6;--
63476248985443;34,1;2,6;--;0,0;31,6;--
63476248986567;31,6;0,0;--;0,0;31,6;--
63476248987597;31,6;0,0;--;0,0;31,6;--
63476248988610;31,8;0,3;--;0,0;31,6;--
63476248989733;32,5;1,0;--;0,0;31,6;--
63476248990817;31,6;0,1;--;0,0;31,6;--
63476248991869;34,7;3,1;--;0,0;31,6;--
63476248992933;31,6;0,0;--;0,0;31,6;--
63476248993993;31,7;0,1;--;0,0;31,6;--
63476248995045;32,0;0,4;--;0,0;31,6;--
63476248996085;33,1;1,5;--;0,0;31,6;--
63476248997176;31,6;0,0;--;0,0;31,6;--
